218;7
904;9
858;10
999;6
889;9
532;1
558;10
4;7
712;7
772;6
477;8
907;1
275;2
849;6
631;8
290;8
691;9
104;1
218;10
524;6
907;9
151;6
790;10
987;10
596;2
882;9
486;6
486;3
864;9
980;1
911;1
783;3
65;3
482;8
461;8
606;2
766;6
432;4
514;7
414;10
706;3
380;6
818;2
302;9
395;7
83;3
970;4
217;4
702;9
551;3
368;1
857;3
126;7
642;1
907;4
127;5
90;3
161;3
100;8
894;9
303;5
370;10
529;1
903;10
166;1
611;9
393;9
244;5
284;3
848;6
781;3
825;4
855;6
847;5
700;3
703;2
352;7
679;5
432;8
405;5
90;7
290;4
667;7
941;6
747;7
316;2
724;3
460;6
465;8
838;1
384;6
815;4
843;9
783;4
357;6
151;3
101;9
146;10
60;4
64;7
